Time Stamp,SSPS Shenandoah 1 C9C - A1_Rain_5_mins (in)
3/1/2015 0:00,0
3/1/2015 0:05,0
3/1/2015 0:10,0
3/1/2015 0:15,0
3/1/2015 0:20,0
3/1/2015 0:25,0
3/1/2015 0:30,0
3/1/2015 0:35,0
3/1/2015 0:40,0
3/1/2015 0:45,0
3/1/2015 0:50,0
3/1/2015 0:55,0
3/1/2015 1:00,0
3/1/2015 1:05,0
3/1/2015 1:10,0
3/1/2015 1:15,0
3/1/2015 1:20,0
3/1/2015 1:25,0
3/1/2015 1:30,0
3/1/2015 1:35,0
3/1/2015 1:40,0
3/1/2015 1:45,0
3/1/2015 1:50,0
3/1/2015 1:55,0
3/1/2015 2:00,0
3/1/2015 2:05,0
3/1/2015 2:10,0
3/1/2015 2:15,0
3/1/2015 2:20,0
3/1/2015 2:25,0
3/1/2015 2:30,0
3/1/2015 2:35,0
3/1/2015 2:40,0
3/1/2015 2:45,0
3/1/2015 2:50,0
3/1/2015 2:55,0
3/1/2015 3:00,0
3/1/2015 3:05,0
3/1/2015 3:10,0
3/1/2015 3:15,0
3/1/2015 3:20,0
3/1/2015 3:25,0
3/1/2015 3:30,0
3/1/2015 3:35,0
3/1/2015 3:40,0
3/1/2015 3:45,0
3/1/2015 3:50,0
3/1/2015 3:55,0
3/1/2015 4:00,0
3/1/2015 4:05,0
3/1/2015 4:10,0
3/1/2015 4:15,0
3/1/2015 4:20,0
3/1/2015 4:25,0
3/1/2015 4:30,0
3/1/2015 4:35,0
3/1/2015 4:40,0
3/1/2015 4:45,0
3/1/2015 4:50,0
3/1/2015 4:55,0
3/1/2015 5:00,0
3/1/2015 5:05,0
3/1/2015 5:10,0
3/1/2015 5:15,0
3/1/2015 5:20,0
3/1/2015 5:25,0
3/1/2015 5:30,0
3/1/2015 5:35,0
3/1/2015 5:40,0
3/1/2015 5:45,0
3/1/2015 5:50,0
3/1/2015 5:55,0
3/1/2015 6:00,0
3/1/2015 6:05,0
3/1/2015 6:10,0
3/1/2015 6:15,0
3/1/2015 6:20,0
3/1/2015 6:25,0
3/1/2015 6:30,0
3/1/2015 6:35,0
3/1/2015 6:40,0
3/1/2015 6:45,0
3/1/2015 6:50,0
3/1/2015 6:55,0
3/1/2015 7:00,0
3/1/2015 7:05,0
3/1/2015 7:10,0
3/1/2015 7:15,0
3/1/2015 7:20,0
3/1/2015 7:25,0
3/1/2015 7:30,0
3/1/2015 7:35,0
