Time Stamp,SSPS Shenandoah 1 C9C - A1_Rain_5_mins (in)
09/13/2012 00:00,0
09/13/2012 00:05,0
09/13/2012 00:10,0
09/13/2012 00:15,0
09/13/2012 00:20,0
09/13/2012 00:25,0
09/13/2012 00:30,0
09/13/2012 00:35,0
09/13/2012 00:40,0
09/13/2012 00:45,0
09/13/2012 00:50,0
09/13/2012 00:55,0
09/13/2012 01:00,0
09/13/2012 01:05,0
09/13/2012 01:10,0
09/13/2012 01:15,0
09/13/2012 01:20,0
09/13/2012 01:25,0
09/13/2012 01:30,0
09/13/2012 01:35,0
09/13/2012 01:40,0
09/13/2012 01:45,0
09/13/2012 01:50,0
09/13/2012 01:55,0
09/13/2012 02:00,0
09/13/2012 02:05,0
09/13/2012 02:10,0
09/13/2012 02:15,0
09/13/2012 02:20,0
09/13/2012 02:25,0
09/13/2012 02:30,0
09/13/2012 02:35,0
09/13/2012 02:40,0
09/13/2012 02:45,0
09/13/2012 02:50,0
09/13/2012 02:55,0
09/13/2012 03:00,0
09/13/2012 03:05,0
09/13/2012 03:10,0
09/13/2012 03:15,0
09/13/2012 03:20,0
09/13/2012 03:25,0
09/13/2012 03:30,0
09/13/2012 03:35,0
09/13/2012 03:40,0
09/13/2012 03:45,0
09/13/2012 03:50,0
09/13/2012 03:55,0
09/13/2012 04:00,0
09/13/2012 04:05,0
09/13/2012 04:10,0
09/13/2012 04:15,0
09/13/2012 04:20,0
09/13/2012 04:25,0
09/13/2012 04:30,0
09/13/2012 04:35,0
09/13/2012 04:40,0
09/13/2012 04:45,0
09/13/2012 04:50,0
09/13/2012 04:55,0
09/13/2012 05:00,0
09/13/2012 05:05,0
09/13/2012 05:10,0
09/13/2012 05:15,0
09/13/2012 05:20,0
09/13/2012 05:25,0
09/13/2012 05:30,0
09/13/2012 05:35,0
09/13/2012 05:40,0
09/13/2012 05:45,0
09/13/2012 05:50,0
09/13/2012 05:55,0
09/13/2012 06:00,0
09/13/2012 06:05,0
09/13/2012 06:10,0
09/13/2012 06:15,0
09/13/2012 06:20,0
09/13/2012 06:25,0
09/13/2012 06:30,0
09/13/2012 06:35,0
09/13/2012 06:40,0
09/13/2012 06:45,0
09/13/2012 06:50,0
09/13/2012 06:55,0
09/13/2012 07:00,0
09/13/2012 07:05,0
09/13/2012 07:10,0
09/13/2012 07:15,0
09/13/2012 07:20,0
09/13/2012 07:25,0
09/13/2012 07:30,0
09/13/2012 07:35,0
09/13/2012 07:40,0
09/13/2012 07:45,0
09/13/2012 07:50,0
09/13/2012 07:55,0
09/13/2012 08:00,0
09/13/2012 08:05,0
09/13/2012 08:10,0
09/13/2012 08:15,0
09/13/2012 08:20,0
09/13/2012 08:25,0
09/13/2012 08:30,0
09/13/2012 08:35,0
09/13/2012 08:40,0
09/13/2012 08:45,0
09/13/2012 08:50,0
09/13/2012 08:55,0
09/13/2012 09:00,0
09/13/2012 09:05,0
09/13/2012 09:10,0
09/13/2012 09:15,0
09/13/2012 09:20,0
09/13/2012 09:25,0
09/13/2012 09:30,0
09/13/2012 09:35,0
09/13/2012 09:40,0
09/13/2012 09:45,0
09/13/2012 09:50,0
09/13/2012 09:55,0
09/13/2012 10:00,0
09/13/2012 10:05,0
09/13/2012 10:10,0
09/13/2012 10:15,0
09/13/2012 10:20,0
09/13/2012 10:25,0
09/13/2012 10:30,0
09/13/2012 10:35,0
09/13/2012 10:40,0
09/13/2012 10:45,0
09/13/2012 10:50,0
09/13/2012 10:55,0
09/13/2012 11:00,0
09/13/2012 11:05,0
09/13/2012 11:10,0
09/13/2012 11:15,0
09/13/2012 11:20,0
09/13/2012 11:25,0
09/13/2012 11:30,0
09/13/2012 11:35,0
09/13/2012 11:40,0
09/13/2012 11:45,0
09/13/2012 11:50,0
09/13/2012 11:55,0
09/13/2012 12:00,0
09/13/2012 12:05,0
09/13/2012 12:10,0
09/13/2012 12:15,0
09/13/2012 12:20,0
09/13/2012 12:25,0
09/13/2012 12:30,0
09/13/2012 12:35,0
09/13/2012 12:40,0
09/13/2012 12:45,0
09/13/2012 12:50,0
09/13/2012 12:55,0
09/13/2012 13:00,0
09/13/2012 13:05,0
09/13/2012 13:10,0
09/13/2012 13:15,0
09/13/2012 13:20,0
09/13/2012 13:25,0
09/13/2012 13:30,0
09/13/2012 13:35,0
09/13/2012 13:40,0
09/13/2012 13:45,0
09/13/2012 13:50,0
09/13/2012 13:55,0
09/13/2012 14:00,0
09/13/2012 14:05,0
09/13/2012 14:10,0
09/13/2012 14:15,0
09/13/2012 14:20,0
09/13/2012 14:25,0
09/13/2012 14:30,0
09/13/2012 14:35,0
09/13/2012 14:40,0
09/13/2012 14:45,0
09/13/2012 14:50,0
09/13/2012 14:55,0
09/13/2012 15:00,0
09/13/2012 15:05,0
09/13/2012 15:10,0
09/13/2012 15:15,0
09/13/2012 15:20,0
09/13/2012 15:25,0
09/13/2012 15:30,0
09/13/2012 15:35,0
09/13/2012 15:40,0
09/13/2012 15:45,0
09/13/2012 15:50,0
09/13/2012 15:55,0
09/13/2012 16:00,0
09/13/2012 16:05,0
09/13/2012 16:10,0
09/13/2012 16:15,0
09/13/2012 16:20,0
09/13/2012 16:25,0
09/13/2012 16:30,0
09/13/2012 16:35,0
09/13/2012 16:40,0
09/13/2012 16:45,0
09/13/2012 16:50,0
09/13/2012 16:55,0
09/13/2012 17:00,0
09/13/2012 17:05,0
09/13/2012 17:10,0
09/13/2012 17:15,0
09/13/2012 17:20,0
09/13/2012 17:25,0
09/13/2012 17:30,0
09/13/2012 17:35,0
09/13/2012 17:40,0
09/13/2012 17:45,0
09/13/2012 17:50,0
09/13/2012 17:55,0
09/13/2012 18:00,0
09/13/2012 18:05,0
09/13/2012 18:10,0
09/13/2012 18:15,0
09/13/2012 18:20,0
09/13/2012 18:25,0
09/13/2012 18:30,0
09/13/2012 18:35,0
09/13/2012 18:40,0
09/13/2012 18:45,0
09/13/2012 18:50,0
09/13/2012 18:55,0
09/13/2012 19:00,0
09/13/2012 19:05,0
09/13/2012 19:10,0
09/13/2012 19:15,0
09/13/2012 19:20,0
09/13/2012 19:25,0
09/13/2012 19:30,0
09/13/2012 19:35,0
09/13/2012 19:40,0
09/13/2012 19:45,0
09/13/2012 19:50,0
09/13/2012 19:55,0
09/13/2012 20:00,0
09/13/2012 20:05,0
09/13/2012 20:10,0
09/13/2012 20:15,0
09/13/2012 20:20,0
09/13/2012 20:25,0
09/13/2012 20:30,0
09/13/2012 20:35,0
09/13/2012 20:40,0
09/13/2012 20:45,0
09/13/2012 20:50,0
09/13/2012 20:55,0
09/13/2012 21:00,0
09/13/2012 21:05,0
09/13/2012 21:10,0
09/13/2012 21:15,0
09/13/2012 21:20,0
09/13/2012 21:25,0
09/13/2012 21:30,0
09/13/2012 21:35,0
09/13/2012 21:40,0
09/13/2012 21:45,0
09/13/2012 21:50,0
09/13/2012 21:55,0
09/13/2012 22:00,0
09/13/2012 22:05,0
09/13/2012 22:10,0
09/13/2012 22:15,0
09/13/2012 22:20,0
09/13/2012 22:25,0
09/13/2012 22:30,0
09/13/2012 22:35,0
09/13/2012 22:40,0
09/13/2012 22:45,0
09/13/2012 22:50,0
09/13/2012 22:55,0
09/13/2012 23:00,0
09/13/2012 23:05,0
09/13/2012 23:10,0
09/13/2012 23:15,0
09/13/2012 23:20,0
09/13/2012 23:25,0
09/13/2012 23:30,0
09/13/2012 23:35,0
09/13/2012 23:40,0
09/13/2012 23:45,0
09/13/2012 23:50,0
09/13/2012 23:55,0
09/14/2012 00:00,0
09/14/2012 00:05,0
09/14/2012 00:10,0
09/14/2012 00:15,0
09/14/2012 00:20,0
09/14/2012 00:25,0
09/14/2012 00:30,0
09/14/2012 00:35,0
09/14/2012 00:40,0
09/14/2012 00:45,0
09/14/2012 00:50,0
09/14/2012 00:55,0
09/14/2012 01:00,0
09/14/2012 01:05,0
09/14/2012 01:10,0
09/14/2012 01:15,0
09/14/2012 01:20,0
09/14/2012 01:25,0
09/14/2012 01:30,0
09/14/2012 01:35,0
09/14/2012 01:40,0
09/14/2012 01:45,0
09/14/2012 01:50,0
09/14/2012 01:55,0
09/14/2012 02:00,0
09/14/2012 02:05,0
09/14/2012 02:10,0
09/14/2012 02:15,0
09/14/2012 02:20,0
09/14/2012 02:25,0
09/14/2012 02:30,0
09/14/2012 02:35,0
09/14/2012 02:40,0
09/14/2012 02:45,0
09/14/2012 02:50,0
09/14/2012 02:55,0
09/14/2012 03:00,0
09/14/2012 03:05,0
09/14/2012 03:10,0
09/14/2012 03:15,0
09/14/2012 03:20,0
09/14/2012 03:25,0
09/14/2012 03:30,0
09/14/2012 03:35,0
09/14/2012 03:40,0
09/14/2012 03:45,0
09/14/2012 03:50,0
09/14/2012 03:55,0
09/14/2012 04:00,0
09/14/2012 04:05,0
09/14/2012 04:10,0
09/14/2012 04:15,0
09/14/2012 04:20,0
09/14/2012 04:25,0
09/14/2012 04:30,0
09/14/2012 04:35,0
09/14/2012 04:40,0
09/14/2012 04:45,0
09/14/2012 04:50,0
09/14/2012 04:55,0
09/14/2012 05:00,0
09/14/2012 05:05,0
09/14/2012 05:10,0
09/14/2012 05:15,0
09/14/2012 05:20,0
09/14/2012 05:25,0
09/14/2012 05:30,0
09/14/2012 05:35,0
09/14/2012 05:40,0
09/14/2012 05:45,0
09/14/2012 05:50,0
09/14/2012 05:55,0
09/14/2012 06:00,0
09/14/2012 06:05,0
09/14/2012 06:10,0
09/14/2012 06:15,0
09/14/2012 06:20,0
09/14/2012 06:25,0
09/14/2012 06:30,0
09/14/2012 06:35,0
09/14/2012 06:40,0
09/14/2012 06:45,0
09/14/2012 06:50,0
09/14/2012 06:55,0
09/14/2012 07:00,0
09/14/2012 07:05,0
09/14/2012 07:10,0
09/14/2012 07:15,0
09/14/2012 07:20,0
09/14/2012 07:25,0
09/14/2012 07:30,0
09/14/2012 07:35,0
09/14/2012 07:40,0
09/14/2012 07:45,0
09/14/2012 07:50,0
09/14/2012 07:55,0
09/14/2012 08:00,0
09/14/2012 08:05,0
09/14/2012 08:10,0
09/14/2012 08:15,0
09/14/2012 08:20,0
09/14/2012 08:25,0
09/14/2012 08:30,0
09/14/2012 08:35,0
09/14/2012 08:40,0
09/14/2012 08:45,0
09/14/2012 08:50,0
09/14/2012 08:55,0
09/14/2012 09:00,0
09/14/2012 09:05,0
09/14/2012 09:10,0
09/14/2012 09:15,0
09/14/2012 09:20,0
09/14/2012 09:25,0
09/14/2012 09:30,0
09/14/2012 09:35,0
09/14/2012 09:40,0
09/14/2012 09:45,0
09/14/2012 09:50,0
