Date,"Flow (m3/s)",,,,,,,,,,,,
"2013/04/19 14:23:18",0.012987499999999999,,,,,,,,,,,,
"2013/04/19 14:23:48",0.04350249999999999,,,,,,,,,,,,
"2013/04/19 14:24:18",0.09466,,,,,,,,,,,,
"2013/04/19 14:24:48",0.05786249999999999,,,,,,,,,,,,
"2013/04/19 14:25:18",0.028245,,,,,,,,,,,,
"2013/04/19 14:25:48",-0.059710000000000006,,,,,,,,,,,,
"2013/04/19 14:26:18",-0.0372725,,,,,,,,,,,,
"2013/04/19 14:26:48",0.04350249999999999,,,,,,,,,,,,
"2013/04/19 14:27:18",0.04080999999999999,,,,,,,,,,,,
"2013/04/19 14:27:48",-0.02381,,,,,,,,,,,,
"2013/04/19 14:28:18",0.004012500000000002,,,,,,,,,,,,
"2013/04/19 14:28:48",0.0022175000000000007,,,,,,,,,,,,
"2013/04/19 14:29:18",0.012090000000000004,,,,,,,,,,,,
"2013/04/19 14:29:48",-0.014835000000000003,,,,,,,,,,,,
"2013/04/19 14:30:18",0.0668375,,,,,,,,,,,,
"2013/04/19 14:30:48",-0.010347500000000003,,,,,,,,,,,,
"2013/04/19 14:31:18",0.018372499999999993,,,,,,,,,,,,
"2013/04/19 14:31:48",0.0327325,,,,,,,,,,,,
"2013/04/19 14:32:18",-0.004962500000000002,,,,,,,,,,,,
"2013/04/19 14:32:48",0.0452975,,,,,,,,,,,,
"2013/04/19 14:33:18",0.0031149999999999997,,,,,,,,,,,,
"2013/04/19 14:33:48",0.01568,,,,,,,,,,,,
"2013/04/19 14:34:18",0.062349999999999996,,,,,,,,,,,,
"2013/04/19 14:34:48",-0.032785,,,,,,,,,,,,
"2013/04/19 14:35:18",0.04799,,,,,,,,,,,,
"2013/04/19 14:35:48",-0.005860000000000001,,,,,,,,,,,,
"2013/04/19 14:36:18",0.027347499999999997,,,,,,,,,,,,
"2013/04/19 14:36:48",0.15389499999999998,,,,,,,,,,,,
"2013/04/19 14:37:18",0.10363499999999998,,,,,,,,,,,,
"2013/04/19 14:37:48",-0.0247075,,,,,,,,,,,,
"2013/04/19 14:38:18",0.0444,,,,,,,,,,,,
"2013/04/19 14:38:48",0.07671,,,,,,,,,,,,
"2013/04/19 14:39:18",0.1153025,,,,,,,,,,,,
"2013/04/19 14:39:48",0.13684249999999998,,,,,,,,,,,,
"2013/04/19 14:40:18",0.13504750000000001,,,,,,,,,,,,
"2013/04/19 14:40:48",0.12696999999999997,,,,,,,,,,,,
"2013/04/19 14:41:18",0.07311999999999999,,,,,,,,,,,,
"2013/04/19 14:41:48",0.17363999999999996,,,,,,,,,,,,
"2013/04/19 14:42:18",0.23646499999999995,,,,,,,,,,,,
"2013/04/19 14:42:48",0.17723,,,,,,,,,,,,
"2013/04/19 14:43:18",0.1404325,,,,,,,,,,,,
"2013/04/19 14:43:48",0.3001875,,,,,,,,,,,,
"2013/04/19 14:44:18",0.27775000000000005,,,,,,,,,,,,
"2013/04/19 14:44:48",0.13325249999999997,,,,,,,,,,,,
"2013/04/19 14:45:18",0.1404325,,,,,,,,,,,,
"2013/04/19 14:45:48",0.19158999999999998,,,,,,,,,,,,
"2013/04/19 14:46:18",0.17094749999999997,,,,,,,,,,,,
"2013/04/19 14:46:48",0.15838249999999998,,,,,,,,,,,,
"2013/04/19 14:47:18",0.2409525,,,,,,,,,,,,
"2013/04/19 14:47:48",0.26698,,,,,,,,,,,,
"2013/04/19 14:48:18",0.2517225,,,,,,,,,,,,
"2013/04/19 14:48:48",0.275955,,,,,,,,,,,,
"2013/04/19 14:49:18",0.1817175,,,,,,,,,,,,
"2013/04/19 14:49:48",0.3342925,,,,,,,,,,,,
"2013/04/19 14:50:18",0.2768525,,,,,,,,,,,,
"2013/04/19 14:50:48",0.301085,,,,,,,,,,,,
"2013/04/19 14:51:18",0.354935,,,,,,,,,,,,
"2013/04/19 14:51:48",0.2858275,,,,,,,,,,,,
"2013/04/19 14:52:18",0.33877999999999997,,,,,,,,,,,,
"2013/04/19 14:52:48",0.2912125,,,,,,,,,,,,
"2013/04/19 14:53:18",0.33519,,,,,,,,,,,,
"2013/04/19 14:53:48",0.31634249999999997,,,,,,,,,,,,
