"Date / Time","Flow (m3/s)"
"2012/09/14 12:40:00",0.014782499999999997
"2012/09/14 12:40:30",-0.0211175
"2012/09/14 12:41:00",-0.010347500000000003
"2012/09/14 12:41:30",-0.03817
"2012/09/14 12:42:00",-0.005860000000000001
"2012/09/14 12:42:30",-0.029195000000000002
"2012/09/14 12:43:00",-0.03099
"2012/09/14 12:43:30",0.024654999999999996
"2012/09/14 12:44:00",0.014782499999999997
"2012/09/14 12:44:30",0.017474999999999997
"2012/09/14 12:45:00",0.050682499999999985
"2012/09/14 12:45:30",0.0058075
"2012/09/14 12:46:00",-0.0274
"2012/09/14 12:46:30",-0.0211175
"2012/09/14 12:47:00",0.016577500000000002
"2012/09/14 12:47:30",0.0022175000000000007
"2012/09/14 12:48:00",-0.020220000000000002
"2012/09/14 12:48:30",-0.0193225
"2012/09/14 12:49:00",0.03632249999999999
"2012/09/14 12:49:30",-0.0247075
"2012/09/14 12:50:00",-0.0462475
"2012/09/14 12:50:30",0.004910000000000005
"2012/09/14 12:51:00",-0.0031675
"2012/09/14 12:51:30",0.007602499999999998
"2012/09/14 12:52:00",0.0022175000000000007
"2012/09/14 12:52:30",-0.0193225
"2012/09/14 12:53:00",-0.014835000000000003
"2012/09/14 12:53:30",0.007602499999999998
"2012/09/14 12:54:00",-0.0247075
"2012/09/14 12:54:30",-0.013040000000000001
"2012/09/14 12:55:00",0.0022175000000000007
"2012/09/14 12:55:30",-0.04894
"2012/09/14 12:56:00",0.016577500000000002
"2012/09/14 12:56:30",0.0417075
"2012/09/14 12:57:00",0.012090000000000004
"2012/09/14 12:57:30",-0.013937500000000002
"2012/09/14 12:58:00",-0.013040000000000001
"2012/09/14 12:58:30",-0.008552500000000001
"2012/09/14 12:59:00",0.007602499999999998
"2012/09/14 12:59:30",0.006704999999999996
"2012/09/14 13:00:00",0.0399125
"2012/09/14 13:00:30",0.004012500000000002
"2012/09/14 13:01:00",0.0399125
"2012/09/14 13:01:30",0.006704999999999996
"2012/09/14 13:02:00",-0.004064999999999999
"2012/09/14 13:02:30",0.0013199999999999983
"2012/09/14 13:03:00",0.02285999999999999
"2012/09/14 13:03:30",0.0058075
"2012/09/14 13:04:00",-0.005860000000000001
"2012/09/14 13:04:30",-0.0300925
"2012/09/14 13:05:00",-0.00945
"2012/09/14 13:05:30",-0.0175275
"2012/09/14 13:06:00",-0.020220000000000002
"2012/09/14 13:06:30",0.0085
"2012/09/14 13:07:00",-0.03458
"2012/09/14 13:07:30",0.00042249999999999927
"2012/09/14 13:08:00",0.014782499999999997
"2012/09/14 13:08:30",0.011192499999999994
"2012/09/14 13:09:00",0.016577500000000002
"2012/09/14 13:09:30",0.016577500000000002
"2012/09/14 13:10:00",0.006704999999999996
"2012/09/14 13:10:30",0.00042249999999999927
"2012/09/14 13:11:00",-0.0031675
"2012/09/14 13:11:30",-0.011244999999999998
"2012/09/14 13:12:00",0.021962499999999996
"2012/09/14 13:12:30",-0.0175275
"2012/09/14 13:13:00",-0.025605
"2012/09/14 13:13:30",-0.08484
"2012/09/14 13:14:00",-0.0031675
"2012/09/14 13:14:30",-0.03099
"2012/09/14 13:15:00",-0.022015
"2012/09/14 13:15:30",-0.004064999999999999
"2012/09/14 13:16:00",0.020167499999999998
"2012/09/14 13:16:30",-0.004064999999999999
"2012/09/14 13:17:00",-0.0372725
"2012/09/14 13:17:30",0.01568
"2012/09/14 13:18:00",-0.0022700000000000047
"2012/09/14 13:18:30",0.035425000000000005
"2012/09/14 13:19:00",-0.0354775
"2012/09/14 13:19:30",-0.03458
"2012/09/14 13:20:00",-0.0318875
"2012/09/14 13:20:30",-0.03458
"2012/09/14 13:21:00",-0.0498375
